method_id,coffee_id,score,rationale
m_chemex,c_bolivia_java,3,"El método Chemex complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil clarity_clean."
m_aeropress,c_bolivia_java,4,"El método AeroPress complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil versatile."
m_french,c_bolivia_java,4,"El método French Press complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil body."
m_moka,c_bolivia_java,4,"El método Moka Pot complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil intensity."
m_coldbrew,c_bolivia_java,4,"El método Cold Brew complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil sweetness."
m_siphon,c_bolivia_java,3,"El método Siphon complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil tea_like."
m_clever,c_bolivia_java,4,"El método Clever Dripper complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil balanced."
m_espresso,c_bolivia_java,4,"El método Espresso complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil concentrated."
m_origami,c_bolivia_java,2,"El método Origami Dripper complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil clarity_floral."
m_pulsar,c_bolivia_java,3,"El método NextLevel Pulsar complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil high_clarity."
m_v60,c_salvador_pacamara,4,"El método V60 complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil clarity_acidity."
m_kalita,c_salvador_pacamara,2,"El método Kalita Wave complementa las notas chocolate; melocotón; especias del café de El Salvador, aportando un perfil clarity_balance."
